Name,genus,species
Fuscus sp.,NA,NA
Ulvoids,NA,NA
Gloiopeltis furcata,Gloiopeltis,furcata
Laminaria spp.,Laminaria,
Alaria spp.,Alaria,
Costaria costata,Costaria,costata
Zostera marina,Zostera,marina
Constantinea subulifera,Constantinea,subulifera
Cymathere triplicata,NA,NA
Crustose red algae,NA,NA
Turf,NA,NA
Agarum fimbriatum,Neoagarum,fimbriatum
Agarum cribrosum,Agarum,clathratum
Agarahiella coulteri,NA,NA
Diatom crust,Diatoma,crystallina
Callophyllis spp.,Callophyllis,
Desmarestia spp.,Desmarestia,
Halymenia spp.,Halymenia,
Nereocystis luetkeana,Nereocystis,luetkeana
Sarcodiotheca furcata,Sarcodiotheca,furcata
Rhodoptilum plumosum,Rhodoptilum,plumosum
Gigartina spp.,Gigartina,
Fryeella gardneri,Fryeella,gardneri
Opuntiella californica,Opuntiella,californica
Stenogramme interrupta,NA,NA
Halosaccion glandiforme,Halosaccion,glandiforme
Iridaea spp.,Iridaea,
Griffithsia pacifica,Griffithsia,pacifica
Polyneura latissima,Polyneura,latissima
Leptofauchea spp.,Leptofauchea,
Fauchea spp.,Fauchea,
Nienburgia borealis,Nienburgia,borealis
Plocamium pacificum,Plocamium,pacificum
Porphyra spp.,Porphyra,
Rhodymenia pertusa,Sparlingia,pertusa
Pleonosporium spp.,Pleonosporium,
Bonnemaisonia nootkana,Bonnemaisonia,nootkana
Callophyllis firma,Salishia,firma
Bryopsis spp.,Bryopsis,
Laurencia spectabilis,Osmundea,spectabilis
Botryocladia pseudodichotoma,Botryocladia,pseudodichotoma
Myriogramme spp.,Myriogramme,
Codium spp.,NA,NA
Crytopleura ruprechtiana,NA,NA
Pleurophycus gardneri,Pleurophycus,gardneri
Pterygophora californica,Pterygophora,californica
Sargassum muticum,Sargassum,muticum
