date,timeBegin,timeEnd,scubaSnorkel,dataCollector,transect,beginLat,beginLon,heading,distance_ft,depth_m,substrate,alga,associates,notes
2021-07-08,1030,1055,scuba ,Ross Whippo,33,48.5361820854273,-122.997889770748,080,200,24.6,Br,none,hydroids,wall
2021-07-08,1030,1055,scuba ,Ross Whippo,33,48.5361820854273,-122.997889770748,080,195,22.8,Br,none,hydroids,wall
2021-07-08,1030,1055,scuba ,Ross Whippo,33,48.5361820854273,-122.997889770748,080,185,19.6,H,none,opuntiella?,took sample | also Desmarestia sp. maybe drift?
2021-07-08,1030,1055,scuba ,Ross Whippo,33,48.5361820854273,-122.997889770748,080,175,17.7,Br,CALL,,took sample
2021-07-08,1030,1055,scuba ,Ross Whippo,33,48.5361820854273,-122.997889770748,080,165,16.4,H,NEFI,,
2021-07-08,1030,1055,scuba ,Ross Whippo,33,48.5361820854273,-122.997889770748,080,155,15.4,Br,NEFI | MAENR,,
2021-07-08,1030,1055,scuba ,Ross Whippo,33,48.5361820854273,-122.997889770748,080,145,14.7,Br,NEFI,,
2021-07-08,1030,1055,scuba ,Ross Whippo,33,48.5361820854273,-122.997889770748,080,135,14.0,Br,NEFI | FRGA | CALL,,took sample of Fryeella
2021-07-08,1030,1055,scuba ,Ross Whippo,33,48.5361820854273,-122.997889770748,080,125,13.3,Br,NEFI | MAFB,,
2021-07-08,1030,1055,scuba ,Ross Whippo,33,48.5361820854273,-122.997889770748,080,115,12.4,Br,CALL | Lacy red #1,,took sample of lacy red #1
2021-07-08,1030,1055,scuba ,Ross Whippo,33,48.5361820854273,-122.997889770748,080,105,12.1,S ,NEFI,,
2021-07-08,1030,1055,scuba ,Ross Whippo,33,48.5361820854273,-122.997889770748,080,95,11.7,S ,lacy red #1 | SALANI,,kelp baby
2021-07-08,1030,1055,scuba ,Ross Whippo,33,48.5361820854273,-122.997889770748,080,85,11.0,S ,lacy red #1 | big red blade #1,,took sample of big red blade #1
2021-07-08,1030,1055,scuba ,Ross Whippo,33,48.5361820854273,-122.997889770748,080,75,10.6,S ,SALANI ,Desmarestia sp. | big red blade #1,
2021-07-08,1030,1055,scuba ,Ross Whippo,33,48.5361820854273,-122.997889770748,080,65,10.0,S ,NEFI | SALANI | COCO,Sparlingia pertusa,
