date,timeBegin,timeEnd,scubaSnorkel,dataCollector,transect,beginLat,beginLon,endLat,endLon,distance_m,depth_m,substrate,alga,associates,notes
2021-07-06,1445,1540,snorkel,Miranda Roethler,1,48.53569,122.99809,48.53698,122.99896,5,1.5,Br,FUDI,,
2021-07-06,1445,1540,snorkel,Miranda Roethler,1,48.53569,122.99809,48.53698,122.99896,15,1.5,Br,FUDI,,
2021-07-06,1445,1540,snorkel,Miranda Roethler,1,48.53569,122.99809,48.53698,122.99896,25,1.5,Br,FUDI,,
2021-07-06,1445,1540,snorkel,Miranda Roethler,1,48.53569,122.99809,48.53698,122.99896,35,1.5,Br,FUDI,,
2021-07-06,1445,1540,snorkel,Miranda Roethler,1,48.53569,122.99809,48.53698,122.99896,45,1.5,Br,ULVA,,
2021-07-06,1445,1540,snorkel,Miranda Roethler,1,48.53569,122.99809,48.53698,122.99896,55,1.5,Br,RAFI,,
2021-07-06,1445,1540,snorkel,Miranda Roethler,1,48.53569,122.99809,48.53698,122.99896,65,1.5,B,RAFI,,new transect
2021-07-06,1445,1540,snorkel,Miranda Roethler,1,48.53569,122.99809,48.53698,122.99896,75,1.5,Br,FUDI,,
2021-07-06,1445,1540,snorkel,Miranda Roethler,1,48.53569,122.99809,48.53698,122.99896,85,1.5,Br,ULVA,,
2021-07-06,1445,1540,snorkel,Miranda Roethler,1,48.53569,122.99809,48.53698,122.99896,95,1.5,Br,FUDI,,
2021-07-06,1445,1540,snorkel,Miranda Roethler,1,48.53569,122.99809,48.53698,122.99896,105,1.5,Br,RAFI,,
2021-07-06,1445,1540,snorkel,Miranda Roethler,1,48.53569,122.99809,48.53698,122.99896,115,1.5,B,RAFI,,
2021-07-06,1445,1540,snorkel,Miranda Roethler,1,48.53569,122.99809,48.53698,122.99896,125,1.5,C,ULVA,,new transect
2021-07-06,1445,1540,snorkel,Miranda Roethler,1,48.53569,122.99809,48.53698,122.99896,135,1.5,Br,FUDI,,
2021-07-06,1445,1540,snorkel,Miranda Roethler,1,48.53569,122.99809,48.53698,122.99896,145,1.5,Br,FUDI,,
2021-07-06,1445,1540,snorkel,Miranda Roethler,1,48.53569,122.99809,48.53698,122.99896,155,1.5,B,FUDI,,
2021-07-06,1445,1540,snorkel,Miranda Roethler,1,48.53569,122.99809,48.53698,122.99896,165,1.5,B,MAENR,,
2021-07-06,1445,1540,snorkel,Miranda Roethler,1,48.53569,122.99809,48.53698,122.99896,175,1.5,Br,FUDI,,
2021-07-06,1545,1600,snorkel,Miranda Roethler,2,48.53698,122.99896,48.53726,122.99963,185,1.5,Br,RAFI,,new transect
2021-07-06,1545,1600,snorkel,Miranda Roethler,2,48.53698,122.99896,48.53726,122.99963,195,1.5,Br,FUDI,,
2021-07-06,1545,1600,snorkel,Miranda Roethler,2,48.53698,122.99896,48.53726,122.99963,205,1.5,B,RAFI,,
2021-07-06,1545,1600,snorkel,Miranda Roethler,2,48.53698,122.99896,48.53726,122.99963,215,1.5,Br,RAFI,,
2021-07-06,1545,1600,snorkel,Miranda Roethler,2,48.53698,122.99896,48.53726,122.99963,225,1.5,Br,ULVA,,
2021-07-06,1545,1600,snorkel,Miranda Roethler,2,48.53698,122.99896,48.53726,122.99963,235,1.5,Br,ULVA,,last point for day
2021-07-10,1036,1106,snorkel,Ross Whippo,1,,,,,5,1.5,Br,ULVA | SALANI,,
2021-07-10,1036,1106,snorkel,Ross Whippo,1,,,,,10,1.5,Br,SAMU | SALANI,,
2021-07-10,1036,1106,snorkel,Ross Whippo,1,,,,,15,1.5,Br,DESP | MASP | MAENR,SAMU | ULVA,
2021-07-10,1036,1106,snorkel,Ross Whippo,1,,,,,20,1.5,Br,RAFI,SAMU  ,
2021-07-10,1036,1106,snorkel,Ross Whippo,1,,,,,25,1.5,Br,SAMU | NEFI | MAENR,,
2021-07-10,1036,1106,snorkel,Ross Whippo,1,,,,,30,1.5,Br,SAMU | SALANI,SAGA,
2021-07-10,1036,1106,snorkel,Ross Whippo,1,,,,,35,1.5,Br,ULVA,COCO | SAMU,
2021-07-10,1036,1106,snorkel,Ross Whippo,1,,,,,40,1.5,Br,SAMU | ULVA | MAENR,SALANI,
2021-07-10,1036,1106,snorkel,Ross Whippo,1,,,,,45,1.5,Br,COCO | MASP,SALANI | COCO,
2021-07-10,1036,1106,snorkel,Ross Whippo,1,,,,,50,1.5,Br,SALANI | PLCA | MAENR,SAMU | NEFI,
