site_number,longitude,latitude,heading_degrees,transect_length_m,transect_max_depth_m,notes
27,-123.007148178597,48.5409361299338,330,138,14,heading to FHL dive locker
31,-123.006581602029,48.5410121699591,355,122,18,heading to pumphouse
32,-123.006092832126,48.540977414532,015,83,20,
34,-123.005152463623,48.540785699743,030,71,24,
1,-123.004017379986,48.5403805920313,035,61,24,
3,-123.00297232402,48.5398305145593,035,61,20,
7,-123.001211108224,48.5389763534683,040,74,24,
10,-123.00070617045,48.5377554717423,040,141,20,
13,-122.998551710593,48.5368620009476,025,132,26,
33,-122.997889770748,48.5361820854273,080,46,28,
18,-122.997960996073,48.5357016175368,110,52,24,
