,Fucus,Ulvoids,Halosaccion,Iridaea,Alaria,Nereocystis,Cymathere,Halymenia,Costaria,Desmarestia,Gloiopeltis,Laminaria,Constantinia,Zostera,Agardhilella,Diatom Crust,Stipe,Gigartina,Porphyra,Sarcodiotheca,Rhodymenia,Blue Green Algae,Bryopsis,Crustose Red Algae,Myriogramme,Turf,Agarum cribosum,Callophyllis spp.,Rhodoptilum,Fryeella,Opuntiella,Callophyllis firma,Pleonosporium,Bonnemaisonia,Agarum fimbriatum,Plocamium,Leptofauchea,Stenogramme,Laurencia,Hydroids,Polyneura,Botryocladia,Griffithsia,Nienburgia,Fauchea
Fucus,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ulvoids,0.42,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Halosaccion,0.36,0.36,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Iridaea,0.36,0.36,0.66,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alaria,0.04,0.04,0.04,0.66,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nereocystis,0.04,0.04,0.04,0.04,0.48,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cymathere,0.04,0.04,0.04,0.04,0.15,0.48,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Halymenia,0.04,0.04,0.04,0.04,0.15,0.15,0.26,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Costaria,0.04,0.04,0.04,0.04,0.11,0.11,0.11,0.11,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Desmarestia,0.04,0.04,0.04,0.04,0.11,0.11,0.11,0.11,0.32,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gloiopeltis,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Laminaria,0,0,0,0,0,0,0,0,0,0,0.15,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Constantinia,0,0,0,0,0,0,0,0,0,0,0.15,0.42,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Zostera,0,0,0,0,0,0,0,0,0,0,0.06,0.06,0.06,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Agardhilella,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Diatom Crust,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.28,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Stipe,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.09,0.09,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gigartina,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.06,0.06,0.06,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
Porphyra,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.06,0.06,0.06,0.16,0,,,,,,,,,,,,,,,,,,,,,,,,,,
