transect,segment,depth,substrate,icon-ID,table-number,table-ID,notes
27,0-10,0-3,rock,Laminaria,4,Laminaria spp.,
27,10-20,3-5,rock,Laminaria,4,Laminaria spp.,
27,20-30,5,rock,Laminaria,4,Laminaria spp.,
27,30-40,5-6,rock,Laminaria,4,Laminaria spp.,
27,40-50,6-7,rock,Laminaria,4,Laminaria spp.,
27,50-60,7,rock,Laminaria,4,Laminaria spp.,
27,60-70,7,rock,Laminaria,4,Laminaria spp.,
27,70-80,7-8,rock | mud,Laminaria,4,Laminaria spp.,
27,80-90,8,mud,none,4,Laminaria spp.,
27,90-100,8,mud,none,4,Laminaria spp.,
27,100-110,8-7,mud,Zostera,8,Zostera marina,
27,110-120,7-5,mud,Zostera,8,Zostera marina,
27,120-130,5-6,mud,Zostera,8,Zostera marina,
27,130-140,6-7,mud,Zostera,8,Zostera marina,
27,140-150,7-8,mud,Agardhiella,15,Agarahiella coulteri,
27,150-160,8,mud,Agardhiella,15,Agarahiella coulteri,
27,160-170,8-9,mud,Lithothamnion,16,Diatom crust,
27,170-180,9-10,mud,Lithothamnion | Agardhiella,3,Gloiopeltis furcata,
27,180-190,10,mud,Agardhiella,15,Agarahiella coulteri,
27,190-200,10,mud,Agardhiella,15,Agarahiella coulteri,
27,200-210,10,mud,Agardhiella,15,Agarahiella coulteri,
27,210-220,10,mud,Laminaria,15,Agarahiella coulteri,
27,220-230,10,mud,Laminaria,4,Laminaria spp.,
27,230-240,10,mud,Agardhiella,15,Agarahiella coulteri,
27,240-250,10,mud,Laminaria,7,Costaria costata,
27,250-260,10,mud,Laminaria,7,Costaria costata,
27,260-270,10-11,mud,Laminaria,7,Costaria costata,
27,270-280,11,mud,Laminaria | Agardhiella,4,Laminaria spp.,
27,280-290,11,mud,Laminaria,7,Costaria costata,
27,290-300,11,mud,Laminaria,18,Desmarestia spp.,
27,300-310,11,mud,Laminaria,7,Costaria costata,
27,310-320,11,mud,Laminaria,7,Costaria costata,
27,320-330,11,mud,Laminaria,7,Costaria costata,
27,330-340,11,mud,Laminaria,18,Desmarestia spp.,
27,340-350,11,mud,Laminaria,7,Costaria costata,
27,350-360,11-12,mud,Laminaria,18,Desmarestia spp.,
27,360-370,12,mud,Laminaria,4,Laminaria spp.,
27,370-380,12,mud,Gigartina,37,Rhodymenia pertusa,
27,380-390,12,mud,Gigartina,37,Rhodymenia pertusa,
27,390-400,12-13,mud,Gigartina | drift ,37,Rhodymenia pertusa,
